Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
11/08/2017,Arsenal,Leicester,,,,,,,M Dean,,,,,,,,,,,,
12/08/2017,Brighton,Man City,,,,,,,M Oliver,,,,,,,,,,,,
12/08/2017,Chelsea,Burnley,,,,,,,C Pawson,,,,,,,,,,,,
12/08/2017,Crystal Palace,Huddersfield,,,,,,,J Moss,,,,,,,,,,,,
12/08/2017,Everton,Stoke,,,,,,,N Swarbrick,,,,,,,,,,,,
12/08/2017,Southampton,Swansea,,,,,,,M Jones,,,,,,,,,,,,
12/08/2017,Watford,Liverpool,,,,,,,A Taylor,,,,,,,,,,,,
12/08/2017,West Brom,Bournemouth,,,,,,,R Madley,,,,,,,,,,,,
13/08/2017,Man United,West Ham,,,,,,,M Atkinson,,,,,,,,,,,,
13/08/2017,Newcastle,Tottenham,,,,,,,A Marriner,,,,,,,,,,,,
19/08/2017,Bournemouth,Watford,,,,,,,R East,,,,,,,,,,,,
19/08/2017,Burnley,West Brom,,,,,,,M Atkinson,,,,,,,,,,,,
19/08/2017,Leicester,Brighton,,,,,,,L Probert,,,,,,,,,,,,
19/08/2017,Liverpool,Crystal Palace,,,,,,,K Friend,,,,,,,,,,,,
19/08/2017,Southampton,West Ham,,,,,,,L Mason,,,,,,,,,,,,
19/08/2017,Stoke,Arsenal,,,,,,,A Marriner,,,,,,,,,,,,
19/08/2017,Swansea,Man United,,,,,,,J Moss,,,,,,,,,,,,
20/08/2017,Huddersfield,Newcastle,,,,,,,C Pawson,,,,,,,,,,,,
20/08/2017,Tottenham,Chelsea,,,,,,,A Taylor,,,,,,,,,,,,
21/08/2017,Man City,Everton,,,,,,,R Madley,,,,,,,,,,,,
26/08/2017,Bournemouth,Man City,,,,,,,M Dean,,,,,,,,,,,,
26/08/2017,Crystal Palace,Swansea,,,,,,,A Marriner,,,,,,,,,,,,
26/08/2017,Huddersfield,Southampton,,,,,,,S Attwell,,,,,,,,,,,,
26/08/2017,Man United,Leicester,,,,,,,M Oliver,,,,,,,,,,,,
26/08/2017,Newcastle,West Ham,,,,,,,N Swarbrick,,,,,,,,,,,,
26/08/2017,Watford,Brighton,,,,,,,G Scott,,,,,,,,,,,,
27/08/2017,Chelsea,Everton,,,,,,,J Moss,,,,,,,,,,,,
27/08/2017,Liverpool,Arsenal,,,,,,,C Pawson,,,,,,,,,,,,
27/08/2017,Tottenham,Burnley,,,,,,,L Mason,,,,,,,,,,,,
27/08/2017,West Brom,Stoke,,,,,,,A Taylor,,,,,,,,,,,,
09/09/2017,Arsenal,Bournemouth,,,,,,,A Taylor,,,,,,,,,,,,
09/09/2017,Brighton,West Brom,,,,,,,C Kavanagh,,,,,,,,,,,,
09/09/2017,Everton,Tottenham,,,,,,,G Scott,,,,,,,,,,,,
09/09/2017,Leicester,Chelsea,,,,,,,L Mason,,,,,,,,,,,,
09/09/2017,Man City,Liverpool,,,,,,,J Moss,,,,,,,,,,,,
09/09/2017,Southampton,Watford,,,,,,,L Probert,,,,,,,,,,,,
09/09/2017,Stoke,Man United,,,,,,,N Swarbrick,,,,,,,,,,,,
10/09/2017,Burnley,Crystal Palace,,,,,,,M Oliver,,,,,,,,,,,,
10/09/2017,Swansea,Newcastle,,,,,,,M Jones,,,,,,,,,,,,
11/09/2017,West Ham,Huddersfield,,,,,,,K Friend,,,,,,,,,,,,
15/09/2017,Bournemouth,Brighton,,,,,,,C Pawson,,,,,,,,,,,,
16/09/2017,Crystal Palace,Southampton,,,,,,,R Madley,,,,,,,,,,,,
16/09/2017,Huddersfield,Leicester,,,,,,,J Moss,,,,,,,,,,,,
16/09/2017,Liverpool,Burnley,,,,,,,R East,,,,,,,,,,,,
16/09/2017,Newcastle,Stoke,,,,,,,S Attwell,,,,,,,,,,,,
16/09/2017,Tottenham,Swansea,,,,,,,M Dean,,,,,,,,,,,,
16/09/2017,Watford,Man City,,,,,,,A Taylor,,,,,,,,,,,,
16/09/2017,West Brom,West Ham,,,,,,,P Tierney,,,,,,,,,,,,
17/09/2017,Chelsea,Arsenal,,,,,,,M Oliver,,,,,,,,,,,,
17/09/2017,Man United,Everton,,,,,,,A Marriner,,,,,,,,,,,,
23/09/2017,Burnley,Huddersfield,,,,,,,C Kavanagh,,,,,,,,,,,,
23/09/2017,Everton,Bournemouth,,,,,,,M Atkinson,,,,,,,,,,,,
23/09/2017,Leicester,Liverpool,,,,,,,A Taylor,,,,,,,,,,,,
23/09/2017,Man City,Crystal Palace,,,,,,,N Swarbrick,,,,,,,,,,,,
23/09/2017,Southampton,Man United,,,,,,,C Pawson,,,,,,,,,,,,
23/09/2017,Stoke,Chelsea,,,,,,,M Dean,,,,,,,,,,,,
23/09/2017,Swansea,Watford,,,,,,,L Mason,,,,,,,,,,,,
23/09/2017,West Ham,Tottenham,,,,,,,M Oliver,,,,,,,,,,,,
24/09/2017,Brighton,Newcastle,,,,,,,A Marriner,,,,,,,,,,,,
25/09/2017,Arsenal,West Brom,,,,,,,R Madley,,,,,,,,,,,,
30/09/2017,Bournemouth,Leicester,,,,,,,G Scott,,,,,,,,,,,,
30/09/2017,Chelsea,Man City,,,,,,,M Atkinson,,,,,,,,,,,,
30/09/2017,Huddersfield,Tottenham,,,,,,,N Swarbrick,,,,,,,,,,,,
30/09/2017,Man United,Crystal Palace,,,,,,,M Dean,,,,,,,,,,,,
30/09/2017,Stoke,Southampton,,,,,,,M Jones,,,,,,,,,,,,
30/09/2017,West Brom,Watford,,,,,,,M Oliver,,,,,,,,,,,,
30/09/2017,West Ham,Swansea,,,,,,,R East,,,,,,,,,,,,
01/10/2017,Arsenal,Brighton,,,,,,,K Friend,,,,,,,,,,,,
01/10/2017,Everton,Burnley,,,,,,,J Moss,,,,,,,,,,,,
01/10/2017,Newcastle,Liverpool,,,,,,,C Pawson,,,,,,,,,,,,
14/10/2017,Burnley,West Ham,,,,,,,S Attwell,,,,,,,,,,,,
14/10/2017,Crystal Palace,Chelsea,,,,,,,A Marriner,,,,,,,,,,,,
14/10/2017,Liverpool,Man United,,,,,,,M Atkinson,,,,,,,,,,,,
14/10/2017,Man City,Stoke,,,,,,,C Pawson,,,,,,,,,,,,
14/10/2017,Swansea,Huddersfield,,,,,,,P Tierney,,,,,,,,,,,,
14/10/2017,Tottenham,Bournemouth,,,,,,,R Madley,,,,,,,,,,,,
14/10/2017,Watford,Arsenal,,,,,,,N Swarbrick,,,,,,,,,,,,
15/10/2017,Brighton,Everton,,,,,,,M Oliver,,,,,,,,,,,,
15/10/2017,Southampton,Newcastle,,,,,,,K Friend,,,,,,,,,,,,
16/10/2017,Leicester,West Brom,,,,,,,M Dean,,,,,,,,,,,,
20/10/2017,West Ham,Brighton,,,,,,,M Atkinson,,,,,,,,,,,,
21/10/2017,Chelsea,Watford,,,,,,,J Moss,,,,,,,,,,,,
21/10/2017,Huddersfield,Man United,,,,,,,L Mason,,,,,,,,,,,,
21/10/2017,Man City,Burnley,,,,,,,R East,,,,,,,,,,,,
21/10/2017,Newcastle,Crystal Palace,,,,,,,S Attwell,,,,,,,,,,,,
21/10/2017,Southampton,West Brom,,,,,,,G Scott,,,,,,,,,,,,
21/10/2017,Stoke,Bournemouth,,,,,,,L Probert,,,,,,,,,,,,
21/10/2017,Swansea,Leicester,,,,,,,M Oliver,,,,,,,,,,,,
22/10/2017,Everton,Arsenal,,,,,,,C Pawson,,,,,,,,,,,,
22/10/2017,Tottenham,Liverpool,,,,,,,A Marriner,,,,,,,,,,,,
28/10/2017,Arsenal,Swansea,,,,,,,L Mason,,,,,,,,,,,,
28/10/2017,Bournemouth,Chelsea,,,,,,,C Pawson,,,,,,,,,,,,
28/10/2017,Crystal Palace,West Ham,,,,,,,R Madley,,,,,,,,,,,,
28/10/2017,Liverpool,Huddersfield,,,,,,,K Friend,,,,,,,,,,,,
28/10/2017,Man United,Tottenham,,,,,,,J Moss,,,,,,,,,,,,
28/10/2017,Watford,Stoke,,,,,,,M Oliver,,,,,,,,,,,,
28/10/2017,West Brom,Man City,,,,,,,M Jones,,,,,,,,,,,,
29/10/2017,Brighton,Southampton,,,,,,,N Swarbrick,,,,,,,,,,,,
29/10/2017,Leicester,Everton,,,,,,,A Marriner,,,,,,,,,,,,
30/10/2017,Burnley,Newcastle,,,,,,,M Dean,,,,,,,,,,,,
04/11/2017,Huddersfield,West Brom,,,,,,,R East,,,,,,,,,,,,
04/11/2017,Newcastle,Bournemouth,,,,,,,P Tierney,,,,,,,,,,,,
04/11/2017,Southampton,Burnley,,,,,,,L Probert,,,,,,,,,,,,
04/11/2017,Stoke,Leicester,,,,,,,R Madley,,,,,,,,,,,,
04/11/2017,Swansea,Brighton,,,,,,,M Dean,,,,,,,,,,,,
04/11/2017,West Ham,Liverpool,,,,,,,N Swarbrick,,,,,,,,,,,,
05/11/2017,Chelsea,Man United,,,,,,,A Taylor,,,,,,,,,,,,
05/11/2017,Everton,Watford,,,,,,,G Scott,,,,,,,,,,,,
05/11/2017,Man City,Arsenal,,,,,,,M Oliver,,,,,,,,,,,,
05/11/2017,Tottenham,Crystal Palace,,,,,,,K Friend,,,,,,,,,,,,
18/11/2017,Arsenal,Tottenham,,,,,,,M Dean,,,,,,,,,,,,
18/11/2017,Bournemouth,Huddersfield,,,,,,,L Probert,,,,,,,,,,,,
18/11/2017,Burnley,Swansea,,,,,,,M Atkinson,,,,,,,,,,,,
18/11/2017,Crystal Palace,Everton,,,,,,,A Taylor,,,,,,,,,,,,
18/11/2017,Leicester,Man City,,,,,,,G Scott,,,,,,,,,,,,
18/11/2017,Liverpool,Southampton,,,,,,,M Jones,,,,,,,,,,,,
18/11/2017,Man United,Newcastle,,,,,,,C Pawson,,,,,,,,,,,,
18/11/2017,West Brom,Chelsea,,,,,,,J Moss,,,,,,,,,,,,
19/11/2017,Watford,West Ham,,,,,,,A Marriner,,,,,,,,,,,,
20/11/2017,Brighton,Stoke,,,,,,,L Mason,,,,,,,,,,,,
24/11/2017,West Ham,Leicester,,,,,,,M Atkinson,,,,,,,,,,,,
25/11/2017,Crystal Palace,Stoke,,,,,,,M Dean,,,,,,,,,,,,
25/11/2017,Liverpool,Chelsea,,,,,,,M Oliver,,,,,,,,,,,,
25/11/2017,Man United,Brighton,,,,,,,N Swarbrick,,,,,,,,,,,,
25/11/2017,Newcastle,Watford,,,,,,,C Kavanagh,,,,,,,,,,,,
25/11/2017,Swansea,Bournemouth,,,,,,,S Attwell,,,,,,,,,,,,
25/11/2017,Tottenham,West Brom,,,,,,,M Jones,,,,,,,,,,,,
26/11/2017,Burnley,Arsenal,,,,,,,L Mason,,,,,,,,,,,,
26/11/2017,Huddersfield,Man City,,,,,,,C Pawson,,,,,,,,,,,,
26/11/2017,Southampton,Everton,,,,,,,K Friend,,,,,,,,,,,,
28/11/2017,Brighton,Crystal Palace,,,,,,,A Marriner,,,,,,,,,,,,
28/11/2017,Leicester,Tottenham,,,,,,,A Taylor,,,,,,,,,,,,
28/11/2017,Watford,Man United,,,,,,,J Moss,,,,,,,,,,,,
28/11/2017,West Brom,Newcastle,,,,,,,L Probert,,,,,,,,,,,,
29/11/2017,Arsenal,Huddersfield,,,,,,,G Scott,,,,,,,,,,,,
29/11/2017,Bournemouth,Burnley,,,,,,,R East,,,,,,,,,,,,
29/11/2017,Chelsea,Swansea,,,,,,,N Swarbrick,,,,,,,,,,,,
29/11/2017,Everton,West Ham,,,,,,,M Oliver,,,,,,,,,,,,
29/11/2017,Man City,Southampton,,,,,,,P Tierney,,,,,,,,,,,,
29/11/2017,Stoke,Liverpool,,,,,,,M Atkinson,,,,,,,,,,,,
02/12/2017,Arsenal,Man United,,,,,,,A Marriner,,,,,,,,,,,,
02/12/2017,Brighton,Liverpool,,,,,,,G Scott,,,,,,,,,,,,
02/12/2017,Chelsea,Newcastle,,,,,,,K Friend,,,,,,,,,,,,
02/12/2017,Everton,Huddersfield,,,,,,,C Kavanagh,,,,,,,,,,,,
02/12/2017,Leicester,Burnley,,,,,,,P Tierney,,,,,,,,,,,,
02/12/2017,Stoke,Swansea,,,,,,,C Pawson,,,,,,,,,,,,
02/12/2017,Watford,Tottenham,,,,,,,M Atkinson,,,,,,,,,,,,
02/12/2017,West Brom,Crystal Palace,,,,,,,M Oliver,,,,,,,,,,,,
03/12/2017,Bournemouth,Southampton,,,,,,,J Moss,,,,,,,,,,,,
03/12/2017,Man City,West Ham,,,,,,,M Dean,,,,,,,,,,,,
09/12/2017,Burnley,Watford,,,,,,,L Probert,,,,,,,,,,,,
09/12/2017,Crystal Palace,Bournemouth,,,,,,,K Friend,,,,,,,,,,,,
09/12/2017,Huddersfield,Brighton,,,,,,,S Attwell,,,,,,,,,,,,
09/12/2017,Newcastle,Leicester,,,,,,,N Swarbrick,,,,,,,,,,,,
09/12/2017,Swansea,West Brom,,,,,,,M Dean,,,,,,,,,,,,
09/12/2017,Tottenham,Stoke,,,,,,,R East,,,,,,,,,,,,
09/12/2017,West Ham,Chelsea,,,,,,,A Taylor,,,,,,,,,,,,
10/12/2017,Liverpool,Everton,,,,,,,C Pawson,,,,,,,,,,,,
10/12/2017,Man United,Man City,,,,,,,M Oliver,,,,,,,,,,,,
10/12/2017,Southampton,Arsenal,,,,,,,R Madley,,,,,,,,,,,,
12/12/2017,Burnley,Stoke,,,,,,,M Jones,,,,,,,,,,,,
12/12/2017,Crystal Palace,Watford,,,,,,,L Mason,,,,,,,,,,,,
12/12/2017,Huddersfield,Chelsea,,,,,,,A Marriner,,,,,,,,,,,,
13/12/2017,Liverpool,West Brom,,,,,,,P Tierney,,,,,,,,,,,,
13/12/2017,Man United,Bournemouth,,,,,,,G Scott,,,,,,,,,,,,
13/12/2017,Newcastle,Everton,,,,,,,M Atkinson,,,,,,,,,,,,
13/12/2017,Southampton,Leicester,,,,,,,C Kavanagh,,,,,,,,,,,,
13/12/2017,Swansea,Man City,,,,,,,A Taylor,,,,,,,,,,,,
13/12/2017,Tottenham,Brighton,,,,,,,R Madley,,,,,,,,,,,,
13/12/2017,West Ham,Arsenal,,,,,,,J Moss,,,,,,,,,,,,
16/12/2017,Arsenal,Newcastle,,,,,,,S Attwell,,,,,,,,,,,,
16/12/2017,Brighton,Burnley,,,,,,,C Kavanagh,,,,,,,,,,,,
16/12/2017,Chelsea,Southampton,,,,,,,R East,,,,,,,,,,,,
16/12/2017,Leicester,Crystal Palace,,,,,,,M Atkinson,,,,,,,,,,,,
16/12/2017,Man City,Tottenham,,,,,,,C Pawson,,,,,,,,,,,,
16/12/2017,Stoke,West Ham,,,,,,,G Scott,,,,,,,,,,,,
16/12/2017,Watford,Huddersfield,,,,,,,M Oliver,,,,,,,,,,,,
17/12/2017,Bournemouth,Liverpool,,,,,,,A Marriner,,,,,,,,,,,,
17/12/2017,West Brom,Man United,,,,,,,A Taylor,,,,,,,,,,,,
18/12/2017,Everton,Swansea,,,,,,,J Moss,,,,,,,,,,,,
22/12/2017,Arsenal,Liverpool,,,,,,,M Atkinson,,,,,,,,,,,,
23/12/2017,Brighton,Watford,,,,,,,P Tierney,,,,,,,,,,,,
23/12/2017,Burnley,Tottenham,,,,,,,M Oliver,,,,,,,,,,,,
23/12/2017,Everton,Chelsea,,,,,,,R Madley,,,,,,,,,,,,
23/12/2017,Leicester,Man United,,,,,,,J Moss,,,,,,,,,,,,
23/12/2017,Man City,Bournemouth,,,,,,,M Jones,,,,,,,,,,,,
23/12/2017,Southampton,Huddersfield,,,,,,,L Probert,,,,,,,,,,,,
23/12/2017,Stoke,West Brom,,,,,,,N Swarbrick,,,,,,,,,,,,
23/12/2017,Swansea,Crystal Palace,,,,,,,C Pawson,,,,,,,,,,,,
23/12/2017,West Ham,Newcastle,,,,,,,L Mason,,,,,,,,,,,,
26/12/2017,Bournemouth,West Ham,,,,,,,S Attwell,,,,,,,,,,,,
26/12/2017,Chelsea,Brighton,,,,,,,M Dean,,,,,,,,,,,,
26/12/2017,Huddersfield,Stoke,,,,,,,A Taylor,,,,,,,,,,,,
26/12/2017,Liverpool,Swansea,,,,,,,K Friend,,,,,,,,,,,,
26/12/2017,Man United,Burnley,,,,,,,M Atkinson,,,,,,,,,,,,
26/12/2017,Tottenham,Southampton,,,,,,,G Scott,,,,,,,,,,,,
26/12/2017,Watford,Leicester,,,,,,,C Kavanagh,,,,,,,,,,,,
26/12/2017,West Brom,Everton,,,,,,,R East,,,,,,,,,,,,
27/12/2017,Newcastle,Man City,,,,,,,A Marriner,,,,,,,,,,,,
28/12/2017,Crystal Palace,Arsenal,,,,,,,M Oliver,,,,,,,,,,,,
30/12/2017,Bournemouth,Everton,,,,,,,L Probert,,,,,,,,,,,,
30/12/2017,Chelsea,Stoke,,,,,,,K Friend,,,,,,,,,,,,
30/12/2017,Huddersfield,Burnley,,,,,,,P Tierney,,,,,,,,,,,,
30/12/2017,Liverpool,Leicester,,,,,,,N Swarbrick,,,,,,,,,,,,
30/12/2017,Man United,Southampton,,,,,,,C Pawson,,,,,,,,,,,,
30/12/2017,Newcastle,Brighton,,,,,,,A Taylor,,,,,,,,,,,,
30/12/2017,Watford,Swansea,,,,,,,M Atkinson,,,,,,,,,,,,
31/12/2017,Crystal Palace,Man City,,,,,,,J Moss,,,,,,,,,,,,
31/12/2017,West Brom,Arsenal,,,,,,,M Dean,,,,,,,,,,,,
01/01/2018,Brighton,Bournemouth,,,,,,,M Oliver,,,,,,,,,,,,
01/01/2018,Burnley,Liverpool,,,,,,,R East,,,,,,,,,,,,
01/01/2018,Everton,Man United,,,,,,,A Marriner,,,,,,,,,,,,
01/01/2018,Leicester,Huddersfield,,,,,,,G Scott,,,,,,,,,,,,
01/01/2018,Stoke,Newcastle,,,,,,,C Kavanagh,,,,,,,,,,,,
02/01/2018,Man City,Watford,,,,,,,L Mason,,,,,,,,,,,,
02/01/2018,Southampton,Crystal Palace,,,,,,,S Attwell,,,,,,,,,,,,
02/01/2018,Swansea,Tottenham,,,,,,,R Madley,,,,,,,,,,,,
02/01/2018,West Ham,West Brom,,,,,,,M Jones,,,,,,,,,,,,
03/01/2018,Arsenal,Chelsea,,,,,,,A Taylor,,,,,,,,,,,,
04/01/2018,Tottenham,West Ham,,,,,,,M Dean,,,,,,,,,,,,
13/01/2018,Chelsea,Leicester,,,,,,,M Jones,,,,,,,,,,,,
13/01/2018,Crystal Palace,Burnley,,,,,,,M Oliver,,,,,,,,,,,,
13/01/2018,Huddersfield,West Ham,,,,,,,J Moss,,,,,,,,,,,,
13/01/2018,Newcastle,Swansea,,,,,,,G Scott,,,,,,,,,,,,
13/01/2018,Tottenham,Everton,,,,,,,C Pawson,,,,,,,,,,,,
13/01/2018,Watford,Southampton,,,,,,,R East,,,,,,,,,,,,
13/01/2018,West Brom,Brighton,,,,,,,M Atkinson,,,,,,,,,,,,
