Player	Nation	Pos	In_17_18	Squad	Age	Apps	Starts	Subs	Min	Mn/Ap	GA	GA90	SoTA	Save%	W	D	L	CS	cs%
Fraser Forster	eng ENG	GK	Y	Southampton	28	38	38	0	3420	90	48	1.26	130	0.631	12	10	16	14	36.8
Ben Foster	eng ENG	GK	Y	West Bromwich Albion	33	38	38	0	3420	90	51	1.34	161	0.683	12	9	17	6	15.8
Heurelho Gomes	br BRA	GK	Y	Watford	35	38	38	0	3337	88	64	1.73	177	0.638	11	7	19	6	15.8
Lukasz Fabianski	pl POL	GK	Y	Swansea City	31	37	37	0	3330	90	69	1.86	174	0.603	11	5	21	8	21.6
Thibaut Courtois	be BEL	GK	Y	Chelsea	24	36	36	0	3240	90	28	0.78	99	0.717	29	3	4	16	44.4
Artur Boruc	pl POL	GK	Y	Bournemouth	36	35	35	0	3150	90	63	1.8	176	0.642	11	9	15	9	25.7
David de Gea	es ESP	GK	Y	Manchester United	25	35	35	0	3150	90	29	0.83	103	0.718	16	14	5	14	40
Tom Heaton	eng ENG	GK	Y	Burnley	30	35	35	0	3150	90	48	1.37	189	0.746	11	7	17	10	28.6
Petr Cech	cz CZE	GK	Y	Arsenal	34	35	35	0	3097	88	37	1.08	150	0.753	22	5	7	12	34.3
Hugo Lloris	fr FRA	GK	Y	Tottenham Hotspur	29	34	34	0	3004	88	24	0.72	101	0.762	24	5	4	15	44.1
Kasper Schmeichel	dk DEN	GK	Y	Leicester City	29	30	30	0	2666	89	47	1.59	158	0.703	10	7	13	8	26.7
Jordan Pickford	eng ENG	GK	Y	Everton	22	29	29	0	2610	90	50	1.72	189	0.735	5	4	20	4	13.8
Wayne Hennessey	wal WAL	GK	Y	Crystal Palace	29	29	29	0	2610	90	46	1.59	134	0.657	9	3	17	7	24.1
Lee Grant	eng ENG	GK	Y	Stoke City	33	28	28	0	2520	90	34	1.21	123	0.724	10	8	10	9	32.1
Simon Mignolet	be BEL	GK	Y	Liverpool	28	28	28	0	2520	90	30	1.07	82	0.634	16	7	5	9	32.1
Eldin Jakupovic	ch SUI	GK	Y	Leicester City	31	22	22	0	1980	90	36	1.64	107	0.664	8	4	10	5	22.7
Darren Randolph	ie IRL	GK	N	West Ham United	29	22	22	0	1980	90	39	1.77	104	0.625	7	5	10	4	18.2
Joel Robles	es ESP	GK	Y	Everton	26	20	19	1	1737	87	20	1.04	80	0.75	12	4	3	10	52.6
Maarten Stekelenburg	nl NED	GK	Y	Everton	33	19	19	0	1683	89	24	1.28	68	0.647	5	6	8	3	15.8
Claudio Bravo	cl CHI	GK	Y	Manchester City	33	22	22	0	1968	89	26	1.19	60	0.567	12	5	5	5	22.7
Willy Caballero	ar ARG	GK	Y	Chelsea	34	17	16	1	1452	85	13	0.81	45	0.711	11	4	1	6	37.5
Adrian	es ESP	GK	Y	West Ham United	29	16	16	0	1440	90	25	1.56	78	0.679	5	4	7	6	37.5
