ID,Player,Nation,Club,Position,In_17_18,Age,Appearances,Starts,Subs,MinsPlayed,Minutes/Appearance,Goals,Assists,PenaltiesTaken,PenaltiesAttempted,Fouls,YellowCards,RedCards,ShotsOnTarget,Goals/90,GoalsAndAssists/90,GoalsMinusPenalties/90,GoalsAndAssistsMinusPenaltiesPer90,ShotsOnTarget/90,Fouls/90,Cards/90
1,Nathaniel Clyne,eng ENG,Liverpool,DF,Y,25,37,37,0,3323,90,0,2,0,0,15,0,0,4,0,0.05,0,0.05,0.11,0.41,0
2,James Milner,eng ENG,Liverpool,MF,Y,30,36,36,0,3154,88,7,3,7,8,38,5,0,17,0.2,0.29,0,0.09,0.49,1.08,0.14
3,Roberto Firmino,br BRA,Liverpool,FW,Y,24,35,34,1,3062,88,11,7,0,0,50,5,0,45,0.32,0.53,0.32,0.53,1.32,1.47,0.15
4,Georginio Wijnaldum,nl NED,Liverpool,MF,Y,25,36,33,3,2972,83,6,8,0,0,21,2,0,21,0.18,0.42,0.18,0.42,0.64,0.64,0.06
5,Dejan Lovren,hr CRO,Liverpool,DF,Y,27,29,29,0,2553,88,2,1,0,0,25,6,0,5,0.07,0.11,0.07,0.11,0.18,0.88,0.21
6,Philippe Coutinho,br BRA,Liverpool,MF,Y,24,31,28,3,2227,72,13,8,0,0,18,2,0,39,0.53,0.85,0.53,0.85,1.58,0.73,0.08
7,Joel Matip,cm CMR,Liverpool,DF,Y,24,29,27,2,2457,85,1,0,0,0,14,3,0,4,0.04,0.04,0.04,0.04,0.15,0.51,0.11
8,Adam Lallana,eng ENG,Liverpool,MF,Y,28,31,27,4,2348,76,8,6,0,0,17,3,0,19,0.31,0.54,0.31,0.54,0.73,0.65,0.11
9,Emre Can,de GER,Liverpool,MF,Y,22,32,26,6,2371,74,5,2,0,0,70,6,0,11,0.19,0.27,0.19,0.27,0.42,2.66,0.23
10,Sadio Mane,sn SEN,Liverpool,MF,Y,24,27,26,1,2235,83,13,5,0,0,32,4,0,25,0.52,0.72,0.52,0.72,1.01,1.29,0.16
11,Jordan Henderson,eng ENG,Liverpool,MF,Y,26,24,24,0,2116,88,1,4,0,0,28,8,0,4,0.04,0.21,0.04,0.21,0.17,1.19,0.34
12,Ragnar Klavan,ee EST,Liverpool,DF,Y,30,20,15,5,1410,71,0,0,0,0,15,3,0,2,0,0,0,0,0.13,0.96,0.19
13,Divock Origi,be BEL,Liverpool,FW,N,21,34,14,20,1468,43,7,3,0,0,22,0,0,15,0.43,0.61,0.43,0.61,0.92,1.35,0
14,Lucas Leiva,br BRA,Liverpool,MF,N,29,24,12,12,1112,46,0,2,0,0,18,4,0,1,0,0.16,0,0.16,0.08,1.46,0.32
15,Daniel Sturridge,eng ENG,Liverpool,FW,F,26,20,7,13,775,39,3,1,0,0,5,1,0,20,0.35,0.46,0.35,0.46,2.32,0.58,0.12
16,Alberto Moreno,es ESP,Liverpool,DF,Y,24,12,2,10,305,25,0,0,0,0,2,1,0,0,0,0,0,0,0,0.59,0.3
17,Trent Alexander-Arnold,eng ENG,Liverpool,DF,Y,17,7,2,5,167,24,0,0,0,0,1,0,0,2,0,0,0,0,1.08,0.54,0
18,Ben Woodburn,eng ENG,Liverpool,FW,Y,16,5,1,4,86,17,0,0,0,0,2,0,0,0,0,0,0,0,0,2.09,0
